gene name	Scaled_TPM	group number
cyp-34A10	0.0051501313857456	1
trx-5	0.0055517396185695	1
sdz-20	0.0055699140433959	1
srx-45	0.0056091491667915	1
T19D12.3	0.005641138840018	1
F56A6.5	0.0056433656337445	1
oac-30	0.0056444970996435	1
ngn-1	0.0056458712043203	1
bgnt-1.8	0.0056458712043203	1
T16A1.5	0.0056630787146955	1
srt-22	0.0056972673545312	1
srab-26	0.0057905602273843	1
Y54E10A.13	0.0058231271463834	1
Y73B6BL.270	0.0058908477419002	1
gpa-10	0.0059458462175443	1
C04E6.4	0.0060112265387198	1
Y64G10A.2	0.0061102126273127	1
D1086.6	0.0061902964018801	1
srsx-13	0.0062059120647409	1
ZK1053.6	0.0062559125012792	1
fbxa-220	0.0062980728851718	1
acr-21	0.00631323660695	1
ins-15	0.0064057704612116	1
del-3	0.0064649631142117	1
dmsr-5	0.0065050869045269	1
F56C4.4	0.0065086787436338	1
Y57G11B.3	0.0065600637929961	1
thn-3	0.0065659223886712	1
unc-55	0.0065748171353377	1
irld-45	0.0065949086586893	1
sra-37	0.0066354340661281	1
F53C3.8	0.0066375799421716	1
F37C4.8	0.0067147978712161	1
Y60A9.1	0.0067300469750825	1
F48C1.11	0.0067412523012073	1
clec-125	0.0067412523012073	1
C31H5.1	0.0067476993105242	1
clec-199	0.0067517169967245	1
F38A5.22	0.0068983187252775	1
F46B3.14	0.0069164129528445	1
F38A1.15	0.0069454144907421	1
R02D5.4	0.0070606948438367	1
nhr-196	0.0070881456455606	1
EEED8.18	0.007088880914465	1
srb-5	0.0071567222961486	1
str-112	0.0071823975159326	1
srt-53	0.0075237460652449	1
srw-63	0.0075453520434901	1
srh-35	0.0075925159501767	1
F13A7.12	0.0076077949518919	1
tax-4	0.0077643222253063	1
C28F5.1	0.0077643735329465	1
pax-3	0.0078418086302505	1
ZC190.7	0.0078428152618202	1
Y41D4A.1	0.0078905113394758	1
F07B10.4	0.0079185340859343	1
sre-19	0.0079525459542483	1
Y53F4B.7	0.0079620509997941	1
K01D12.1	0.0080109722643545	1
T05C7.7	0.0080529298586937	1
Y48G9A.12	0.008096337517003	1
H12I13.6	0.0081450850387475	1
col-135	0.0081568376110004	1
Y116A8C.43	0.0082289822251386	1
C09G12.17	0.0082655413303579	1
K03B8.14	0.0082671736518643	1
F49F1.14	0.0083671858810232	1
srsx-14	0.008394088730461	1
che-1	0.0084227245965523	1
Y22D7AL.1	0.008428911453649	1
rpi-2	0.0084306597265945	1
fbxa-183	0.0084791915752045	1
srh-38	0.0085182347752076	1
sru-1	0.0085258185412131	1
C18H7.12	0.0085308726111614	1
C12D5.5	0.0085551272814231	1
F44G4.6	0.008564365474205	1
F52E10.2	0.0085653588968805	1
F54F7.3	0.008567910905436	1
srd-35	0.0085734216209194	1
col-86	0.0085869605162971	1
srbc-39	0.0086183256103163	1
Y111B2A.27	0.0086305561976183	1
vab-7	0.0086802167736847	1
T03E6.2	0.0086814780466907	1
Y116A8A.4	0.0087629009863276	1
C36C9.5	0.0087991424754477	1
F10B5.3	0.0088409666970145	1
C31E10.1	0.0088824564926613	1
C47F8.5	0.0088824564926613	1
T09E8.4	0.0089279451525186	1
Y71G12B.33	0.0089285838458464	1
str-166	0.0089522990855581	1
F59B10.2	0.0089522990855581	1
K01A12.3	0.0090481392976224	1
srsx-7	0.0090726746207761	1
srw-89	0.009102235413918	1
C25G4.17	0.0091882734297393	1
Y71H2AR.2	0.0092473939461879	1
arrd-5	0.00927414366398	1
srx-85	0.0093015940588404	1
srx-24	0.0093205612607999	1
srt-15	0.0094135856346848	1
sri-48	0.0094379765589625	1
F29D10.3	0.0095007300241705	1
delm-2	0.009547768916238	1
C54D10.5	0.0096156285443556	1
Y45F10D.15	0.0096420656792915	1
C07G3.10	0.0096618705888843	1
asp-16	0.0096631786803082	1
M03F8.5	0.0096765019032439	1
srx-115	0.0096950828564363	1
mab-23	0.0097133867629089	1
srg-53	0.0097210351970425	1
C09G9.3	0.0097928773048282	1
B0507.4	0.0098063231715903	1
Y74C9A.1	0.0098492601020932	1
phf-32	0.0098751725197841	1
wago-5	0.0098781090972985	1
srj-26	0.0099084297750182	1
F18E2.15	0.0099921394943486	1
ifa-3	0.0100811528289891	1
clec-68	0.0100956948482106	1
R02D5.9	0.0100983039338686	1
C38C6.5	0.0101422929611375	1
nlp-23	0.0101564092166253	1
F02D10.3	0.0101787908662227	1
clec-35	0.0101866254959841	1
Y45F3A.5	0.0102357196352528	1
B0336.12	0.0103461135759438	1
ZK816.4	0.0105391056179567	1
npr-23	0.0106445072458083	1
C17B7.5	0.0106516651204887	1
srt-42	0.0106866568203607	1
sre-3	0.0107014792985364	1
Y40C7B.1	0.010710989449999	1
ZK1053.7	0.0107119032840237	1
ZK688.1	0.010858157845091	1
nas-29	0.0108754606316512	1
C08A9.3	0.0108800679361795	1
K10D3.8	0.0109173255165893	1
R07B1.7	0.0109462525358023	1
M04D8.5	0.0109495888140387	1
grl-31	0.0109499545904088	1
Y24D9A.5	0.0109908699188771	1
Y73B6BL.37	0.0110676291920381	1
fbxc-24	0.0111286614727487	1
F46F5.10	0.0111408254472135	1
Y62H9A.10	0.0111659616911173	1
str-141	0.0111667299438655	1
srg-1	0.0112033924358453	1
ceh-14	0.0112048142785825	1
srx-129	0.0112431966639253	1
npr-6	0.0112776401015837	1
srj-57	0.0113080694748498	1
fbxa-201	0.0113183614860869	1
C12D5.3	0.0113739736086379	1
tpst-2	0.011437471842357	1
F41B5.12	0.0115899876749654	1
M02A10.1	0.0115913320516757	1
F22H10.11	0.0116005516002498	1
R10E8.5	0.0116211882336439	1
srxa-15	0.0116285297661167	1
C02H6.3	0.0116309343752106	1
gpa-13	0.0116315110310887	1
F21C10.1	0.0116320814612308	1
sra-38	0.0116324398652628	1
R05F9.7	0.0116326582642374	1
srh-229	0.0116327219488625	1
srh-184	0.011632895393273	1
