gene name	Scaled_TPM	group number
clec-207	9.164917254951251e-14	1
T04C12.1	9.18699596849176e-14	1
col-74	9.25424003221176e-14	1
srb-5	9.25662813696312e-14	1
K08C9.7	9.37441169533854e-14	1
F36H1.12	9.45994157080647e-14	1
F54B8.1	1.0022924343918399e-13	1
C50E3.9	1.02372921603495e-13	1
F47B3.3	1.07777001771193e-13	1
mltn-3	1.21650192556629e-13	1
M153.5	1.36671131498974e-13	1
irg-6	1.41380719834667e-13	1
mltn-8	1.47174300657249e-13	1
Y116A8C.3	1.64816535694282e-13	1
T19C3.5	1.7306275981687399e-13	1
F09C6.3	1.8427091686059998e-13	1
C50H11.13	2.1638314087497298e-13	1
chil-21	2.2366132683759e-13	1
Y71H2AM.25	2.5483612281525e-13	1
D1007.13	2.69298261906854e-13	1
EEED8.12	2.79951374930639e-13	1
nhr-196	3.12132597783282e-13	1
str-74	3.14135987948572e-13	1
srh-20	3.4789044268030996e-13	1
clec-210	5.14867842017799e-13	1
F22E5.7	5.43157643191652e-13	1
med-1	5.57546003604392e-13	1
frpr-12	5.590902119689379e-13	1
F07C4.6	6.30495890185463e-13	1
R09D1.12	6.46356744285666e-13	1
F49E10.2	7.83198972629416e-13	1
Y7A5A.6	8.26278555547974e-13	1
K10C2.2	8.35636044338586e-13	1
C26D10.7	9.01521079818064e-13	1
sra-30	1.02030799624457e-12	1
W05H5.1	1.03763699827079e-12	1
T26C5.2	1.12415432520102e-12	1
F37H8.7	1.22685785352648e-12	1
srm-1	1.24378495693653e-12	1
F11C1.10	1.37973729641587e-12	1
str-45	1.42713557629816e-12	1
T28D9.11	1.4312116051115998e-12	1
ule-3	1.4473695250741099e-12	1
ttr-1	1.4776037669240198e-12	1
cyp-35A1	1.50015505085892e-12	1
npp-26	1.5101441352563998e-12	1
K08E5.5	1.5128748160130798e-12	1
clec-64	1.6617770020743998e-12	1
daam-1	1.80039104653257e-12	1
R57.2	2.16844125529903e-12	1
nhr-175	2.39024201581767e-12	1
zig-3	2.5242105600495797e-12	1
F54F7.8	2.80082113865957e-12	1
Y71G12B.31	3.21391560711912e-12	1
R160.5	3.58574545571469e-12	1
H35N09.2	3.9946296102437e-12	1
T08B2.4	4.1412148303239394e-12	1
ZK1290.11	4.2490714815207094e-12	1
C40A11.2	4.63109018809096e-12	1
R05G6.3	5.20535393174936e-12	1
F53C3.6	6.509327468838529e-12	1
F41E7.9	6.94535053136561e-12	1
acbp-7	7.11024584667721e-12	1
F49F1.8	7.46299450279544e-12	1
F52G3.5	9.56447897634166e-12	1
dma-1	1.00875363779428e-11	1
R07B1.13	1.02310358514464e-11	1
srw-98	1.16996913097309e-11	1
chhy-1	1.1968284943110599e-11	1
sulp-3	1.84668943135909e-11	1
fbxa-120	2.02466538143109e-11	1
Y34D9A.8	2.0887942599411697e-11	1
srt-28	2.12745862407737e-11	1
fbxb-17	2.59260988199232e-11	1
pals-20	2.8303272209934e-11	1
C13A2.1	3.75819934834944e-11	1
T08G5.1	4.03804346610138e-11	1
srab-9	4.33197835950258e-11	1
ocr-4	4.52398026578484e-11	1
cutl-8	4.7803094411954494e-11	1
ceh-84	4.8694942834011695e-11	1
C56E10.3	5.0215411026214293e-11	1
T20D4.5	5.3688732135643696e-11	1
srx-116	6.6595225690668e-11	1
gsto-2	7.2703306325558e-11	1
dmsr-13	7.319323222749849e-11	1
D1079.1	7.92434194439845e-11	1
fbxa-88	9.414640757034829e-11	1
col-172	9.427642177956389e-11	1
K02B12.6	9.502896567174479e-11	1
Y39G8B.10	1.01405635391421e-10	1
C01F1.5	1.08566606998174e-10	1
srh-24	1.30373444534289e-10	1
aexr-3	1.44064593586399e-10	1
Y43D4A.2	1.45708397223578e-10	1
ZK402.5	1.67171831171719e-10	1
cut-6	1.94529648906846e-10	1
T04A6.2	1.99903541315443e-10	1
F17E9.2	2.10926473011673e-10	1
Y9D1A.2	2.30471676657038e-10	1
T25B6.3	2.41297664758557e-10	1
K10G6.4	2.48122543033667e-10	1
C10C5.5	2.84986882555812e-10	1
cnc-7	3.11742185187784e-10	1
nhr-207	3.16144001520823e-10	1
gcy-22	3.27002375859638e-10	1
K09A11.1	3.72213200977871e-10	1
col-164	3.80253231457067e-10	1
B0205.14	3.9275380927255103e-10	1
C09G1.3	4.45079473611748e-10	1
C15H9.3	4.6055094527742004e-10	1
T13B5.9	5.11277049291634e-10	1
srv-27	6.37437673279846e-10	1
F32E10.8	6.720873525296301e-10	1
T21E8.6	6.814630197516171e-10	1
clec-178	7.09282299173734e-10	1
T22C8.1	7.169078598198541e-10	1
E02H4.4	7.18010329532706e-10	1
F28C6.9	7.31390250468541e-10	1
srw-86	7.66379989017048e-10	1
F54B11.8	8.092226690765741e-10	1
F55B11.3	8.1121282167194e-10	1
F47G4.5	8.49202813061265e-10	1
pqn-98	8.986184322932681e-10	1
T23F11.11	9.37510734420292e-10	1
F08F1.9	9.47050070320664e-10	1
Y41G9A.5	1.0049698571908902e-09	1
clec-145	1.02947220432226e-09	1
C16C8.10	1.13143912487999e-09	1
C05C9.1	1.3450053985967901e-09	1
bli-1	1.52466535207614e-09	1
F18F11.4	1.73471029307866e-09	1
sra-11	1.742544927374e-09	1
str-211	1.8254266313362801e-09	1
Y62H9A.14	2.0075097466195103e-09	1
gpa-13	2.0826498696688602e-09	1
F47B8.4	2.4377349793624e-09	1
F21C10.6	2.45020516004603e-09	1
T05H4.3	2.46195883663197e-09	1
C50H2.13	2.4840587286292204e-09	1
C45B2.3	2.63939856216236e-09	1
dsl-2	2.66068075332161e-09	1
ceh-82	2.8919692065838904e-09	1
Y47D3B.3	3.9316216693521e-09	1
grd-2	4.04660837971798e-09	1
tsp-11	4.46910642044844e-09	1
srd-23	4.6315987095430305e-09	1
C54D10.5	5.0361250624677e-09	1
F46A8.8	5.04527879435012e-09	1
srh-269	5.047977052627891e-09	1
vab-15	5.099954359730161e-09	1
K02E7.11	5.543107209458521e-09	1
srx-112	5.61712647302225e-09	1
ins-21	6.27932342072961e-09	1
gcp-2.3	7.35744887651048e-09	1
F14H3.14	7.40016007074345e-09	1
fbxb-41	7.53332317010438e-09	1
K09H11.4	9.100296111941431e-09	1
del-2	1.02929916155767e-08	1
T25E12.6	1.08639380910018e-08	1
Y69H2.3	1.21074415737785e-08	1
K12H6.4	1.25849382592342e-08	1
C52A11.3	1.3158327805026e-08	1
F34D6.9	1.50973207133746e-08	1
Y9C9A.13	1.755923293713e-08	1
F35A5.4	1.92171841190905e-08	1
lgc-25	2.17915254013447e-08	1
ZK262.3	2.29437346541456e-08	1
nhr-123	2.77439687948126e-08	1
nhr-188	3.1010271919792e-08	1
grl-18	3.14665354337185e-08	1
T20G5.13	3.15416960038804e-08	1
fbxb-26	3.81136364447273e-08	1
npr-34	4.21077093637462e-08	1
F44E2.4	4.47176999511138e-08	1
T28A11.22	4.66184077525973e-08	1
fbxc-7	4.74176699607382e-08	1
C39D10.5	5.04406058012812e-08	1
F27D9.13	5.16739336720563e-08	1
F39G3.4	5.24050751588206e-08	1
hpo-2	5.40537645758033e-08	1
C33E10.10	5.68296182703584e-08	1
F46A8.7	6.2743970842071e-08	1
K06H6.2	6.57559776522514e-08	1
fbxb-65	6.63709882008631e-08	1
C05B5.4	7.00339718798653e-08	1
F40E3.3	7.08781795749876e-08	1
dyf-7	7.25400235710584e-08	1
rpi-2	7.26986419476757e-08	1
C11H1.8	7.54738951225302e-08	1
nfyb-1	7.63254794185565e-08	1
ZC334.12	7.87323881260879e-08	1
sri-30	8.01451178953997e-08	1
C03H5.9	8.13744250233279e-08	1
Y71G12B.26	8.27201928313283e-08	1
nhr-119	9.04044546656868e-08	1
K07C11.4	9.19763247755961e-08	1
W02D9.6	9.68699589005372e-08	1
C18F10.2	1.03936454651118e-07	1
Y75B8A.34	1.10658859894224e-07	1
Y60A9.1	1.20959055288126e-07	1
K03A11.4	1.23175907785818e-07	1
F23H12.3	1.24944386821142e-07	1
D1022.5	1.33991386081119e-07	1
srsx-33	1.55473190933206e-07	1
nas-33	1.80575671609559e-07	1
C28G1.4	1.96304990551414e-07	1
iglr-1	2.16514942289648e-07	1
nhr-227	2.42103034088214e-07	1
cof-2	2.44972657780241e-07	1
F54D5.23	2.47984351154802e-07	1
lgc-42	2.50562214872493e-07	1
srt-20	2.63435148456401e-07	1
sru-3	2.66851847332402e-07	1
W06A11.1	2.74535687245071e-07	1
dmd-3	3.21676305467791e-07	1
gcy-34	3.25787357609155e-07	1
srh-283	3.51324415607099e-07	1
F41E6.8	3.6086301501075e-07	1
C45G7.4	3.89246118493279e-07	1
T25G12.6	4.0966137229064e-07	1
F01D4.8	4.14469904232542e-07	1
srt-12	4.59765875261072e-07	1
srx-129	4.84569700593767e-07	1
Y73F8A.35	5.12225919653692e-07	1
F38A1.15	5.47607742561591e-07	1
R08E5.4	5.70247425574289e-07	1
ZK105.12	6.07651468434754e-07	1
egl-43	6.20383496373652e-07	1
try-10	6.41397659147441e-07	1
Y102A11A.1	7.39237388292246e-07	1
Y47D3A.1	7.44717139125214e-07	1
srg-69	8.23486187909413e-07	1
F10B5.3	8.50420996503132e-07	1
lgc-28	8.98066649062659e-07	1
srg-21	9.53533371676343e-07	1
C23F12.3	9.95373050343079e-07	1
pud-2.1	1.01158771086893e-06	1
Y73F4A.1	1.01431427344053e-06	1
K01A6.4	1.09349969885539e-06	1
F45D3.1	1.20423806852318e-06	1
C05C9.2	1.22515677855788e-06	1
Y62H9A.1	1.29843994121936e-06	1
tsp-13	1.44092872163749e-06	1
otpl-7	1.48159478863673e-06	1
twk-23	1.82221305008173e-06	1
