gene name	Scaled_TPM	group number
ceh-14	0.0115684641099959	1
F28C6.9	0.011751416320253	1
Y105C5B.3	0.0119268229538661	1
vab-7	0.0119591671631618	1
Y46G5A.39	0.0119853065324543	1
grk-2	0.0120035411105117	1
ZC404.1	0.0120383350416457	1
nhr-85	0.0121044220295498	1
F46A8.6	0.0121482251382019	1
sru-13	0.0122326019623003	1
C16D9.5	0.0122964548405728	1
ssp-37	0.0124583577836444	1
T25F10.4	0.0127323767449197	1
EEED8.12	0.0128383562603054	1
srh-233	0.0128645823131264	1
C55A6.11	0.012986467726575	1
T10B10.9	0.0130209816223361	1
str-225	0.0130828675213549	1
C37C3.11	0.0132556422477969	1
bed-3	0.0134532515179991	1
Y38F1A.8	0.0135548751599193	1
nhr-214	0.0136573967054745	1
T05B11.4	0.0137450587516121	1
C02G6.2	0.0139356085214714	1
ceh-12	0.0140745204579431	1
C39B10.3	0.014182994065429	1
F58G1.8	0.0141870617140147	1
ZK39.10	0.014245793887334	1
acc-3	0.0143306496140273	1
F57C2.4	0.0143334770995697	1
H42K12.3	0.0143761868385249	1
srz-60	0.0144509455805173	1
F25H2.3	0.0144973502533828	1
T03G11.10	0.0145347533756255	1
ttr-58	0.0145603293511977	1
srx-1	0.0146445561325528	1
nep-3	0.0147146803726197	1
C05E7.3	0.0147287602904551	1
chil-25	0.0147369646751929	1
sre-19	0.0147446241795584	1
ZK1086.2	0.0148138556214143	1
W02B12.16	0.0149776716878003	1
Y6E2A.4	0.0149806472289608	1
W02A2.5	0.0150035765413731	1
K01A12.3	0.0150357020621746	1
C32C4.3	0.0150436971717758	1
Y71G12B.33	0.0151335799909356	1
T25E4.2	0.0151806963434456	1
Y59E9AL.8	0.0155080577659233	1
C17H11.1	0.0155199806894526	1
math-37	0.0155332793792517	1
Y25C1A.2	0.015925419594057	1
slcf-2	0.0159831417909704	1
K09D9.14	0.0160135977845109	1
K10F12.6	0.0160175393279896	1
C08F1.8	0.0161139200170787	1
fbxc-39	0.0161867422208167	1
prmt-4	0.0163998792559161	1
C06C6.6	0.0164177016899656	1
sra-3	0.0164618435555778	1
C18H2.5	0.0167369603007033	1
C39B5.14	0.0168416244884158	1
R05G9.1	0.0168547168329244	1
K11H12.6	0.0170359536456494	1
srh-44	0.017048608678256	1
C54G6.3	0.0171061949812887	1
srw-77	0.01710718357413	1
Y49E10.25	0.0172036183098622	1
Y51H7BR.8	0.0172584433786523	1
C39E6.2	0.0173234140331249	1
srsx-18	0.0173314988968915	1
pqn-97	0.0176021718557763	1
K09F6.11	0.0176624103117546	1
K01A6.5	0.0177720905108135	1
K02G10.15	0.01778529912715	1
R12H7.4	0.0178361970281481	1
C54D10.5	0.0180740617640299	1
K10G6.5	0.0181769505980861	1
D1022.9	0.0183592838318459	1
srh-182	0.0184098473524015	1
lgc-51	0.0185329225136156	1
set-11	0.0185422852698086	1
glc-3	0.0185433363134763	1
hst-3.2	0.0186142103578355	1
dhhc-13	0.0186510552437962	1
gnrr-7	0.0188272748309373	1
srx-129	0.0189414612516127	1
ZK353.4	0.0190040798783951	1
F37C4.8	0.0190219526510616	1
lgc-35	0.0191049002290641	1
F54E2.9	0.0192316728177276	1
F10D11.4	0.0192418218289595	1
C08B6.6	0.0194672907509929	1
ZK682.7	0.0195106212460842	1
Y51H4A.1	0.0196135065481361	1
T02H6.8	0.0197612661902302	1
C15H9.3	0.0198274785852669	1
C49A1.1	0.0199030791615934	1
ugt-52	0.0200569167400482	1
frpr-3	0.0200611393875466	1
M01D7.9	0.0200765775875067	1
F46F5.1	0.0200953770281601	1
ceh-40	0.0201134233471812	1
R05A10.1	0.020122137826082	1
C44C10.7	0.0201413393375922	1
T11F9.1	0.0201837081030208	1
R01H2.2	0.0202734600085525	1
R07B1.9	0.0203571555836836	1
scl-21	0.0204244773686199	1
C37E2.2	0.0204395111377619	1
arrd-12	0.0206156690951177	1
K02E2.1	0.0207030956185749	1
F10D2.16	0.0209657659095404	1
fbxa-44	0.0210130058476549	1
C03H5.7	0.0210788553412755	1
C44B11.1	0.0211321366475902	1
C16C8.17	0.0212344352117063	1
clec-72	0.0212386416792234	1
col-56	0.0213523039944912	1
C08G5.6	0.0213686869658075	1
F14H3.14	0.021388996244339	1
F35E12.2	0.0214463945872086	1
peel-1	0.0214893281961773	1
sel-7	0.021516354034843	1
ZK563.7	0.0215419329374836	1
F35C12.3	0.02162377956109	1
gpa-11	0.0216497260423178	1
bbs-9	0.0217774249060248	1
str-261	0.0217830131416267	1
ser-1	0.021809817373141	1
cyp-13A4	0.0219521278577532	1
C06C3.7	0.0219564229815633	1
Y39G8B.10	0.0219942958779037	1
grl-28	0.0220502893633527	1
clec-37	0.0220520083651988	1
chil-20	0.0220520083656372	1
F36H5.13	0.0220772202072901	1
F57G12.2	0.0221191454380534	1
F43D2.3	0.0221858462443258	1
Y53H1C.3	0.0222261259209361	1
nspc-15	0.0223496773946958	1
C55B6.5	0.0224452508738138	1
M02A10.1	0.0224862338766884	1
Y51A2B.5	0.0224950428308493	1
amt-2	0.0226095239746004	1
irld-34	0.0226682075533842	1
gst-40	0.0227210655602349	1
fbxb-74	0.0227216147730116	1
M199.134	0.022735026447884	1
srm-1	0.0227732527301815	1
Y87G2A.25	0.0229260871367749	1
C06E4.6	0.0230162432148677	1
F26A1.6	0.0231382455334386	1
ins-39	0.0231413518553341	1
T21D9.2	0.0231823241798898	1
Y71A12C.2	0.0231970341527454	1
pqn-73	0.0234584137463313	1
F46E10.3	0.0234640047284157	1
H35N09.1	0.0234725584832439	1
C16C10.9	0.0235624746262367	1
F54F11.1	0.0235702576957868	1
K10H10.13	0.0239377552628681	1
F54E4.4	0.0239433274971016	1
F47B10.3	0.0239718971563687	1
F58D5.6	0.0241270611681059	1
T05A7.13	0.0242984750872063	1
Y113G7A.12	0.024375624926413	1
B0391.14	0.0244751990078496	1
fbxa-201	0.0245785715883069	1
srv-15	0.0247357816183757	1
C28F5.4	0.0247499863900839	1
unc-39	0.0248097255968889	1
ZC434.10	0.0248143114010934	1
srt-13	0.0248288733399945	1
F36D1.8	0.024850879008015	1
Y67D8B.3	0.0249943835192204	1
fbxa-36	0.0251176618987851	1
C47A4.1	0.0251462622239091	1
T20D4.5	0.0251759828765104	1
F21C10.18	0.0251763684307713	1
T28B8.6	0.025185010113476	1
srh-115	0.0252818937234348	1
F59A1.13	0.0252901462448589	1
M04D8.4	0.0254306636801275	1
T08G3.7	0.0254545353115277	1
T25B9.5	0.0255434055739524	1
srh-113	0.0255582472639621	1
K05G3.1	0.0256497390533945	1
F56C4.4	0.025805123961483	1
srh-130	0.0258197221896609	1
F01G10.6	0.025937293122159	1
F55B11.5	0.0259817857745766	1
str-27	0.0263394217826921	1
clec-6	0.0263430860184627	1
F26B1.1	0.0263853089369339	1
str-68	0.0263986221768076	1
clec-103	0.0264051361644775	1
C06C6.7	0.0264079553424575	1
R11G1.2	0.0264650415565365	1
T06D8.2	0.0266035997850128	1
R08C7.1	0.0267331488856598	1
grd-2	0.0267751729795624	1
ZC132.9	0.0267894145102162	1
str-246	0.0268377167816957	1
W04E12.2	0.0268389987263501	1
arrd-5	0.0271072271011366	1
trpl-5	0.0271116354231185	1
C07B5.2	0.0272078159906467	1
srv-7	0.0272342032465209	1
C25F9.15	0.0272504527747233	1
T27E9.6	0.0272839532088028	1
F13E9.16	0.0273348313505876	1
F59B10.6	0.0274019063610165	1
srw-7	0.0274222111414082	1
F25E5.7	0.0274867869087197	1
C42D4.19	0.0276128396091267	1
F57C7.4	0.0276778386556877	1
Y73F8A.10	0.0277601474662148	1
paf-1	0.0277685384287739	1
sru-6	0.0278803750428755	1
B0432.11	0.0279344311397959	1
glb-14	0.0280095542467647	1
fbxa-218	0.0280584394301694	1
hpa-2	0.028080768771948	1
F26D2.16	0.0280976854384611	1
fbxc-7	0.0281627620420974	1
Y26D4A.17	0.0282426523626591	1
ngn-1	0.0283592343488414	1
ZC13.2	0.0284012197986554	1
nas-28	0.0284406021965268	1
B0250.18	0.0284419417871602	1
AH10.3	0.0285444126254699	1
C09D4.6	0.0285637529949594	1
lgc-46	0.0286502951232968	1
ZC84.1	0.0286544644089911	1
lgc-19	0.0287197678614526	1
F13B12.7	0.0288434047616995	1
col-105	0.0288666085042332	1
F11G11.14	0.0288907314844044	1
bath-46	0.0291239192621519	1
F38B7.10	0.0291461469592591	1
W04E12.9	0.02917585231944	1
cutl-27	0.0292083822579818	1
let-381	0.0292220579788573	1
nas-27	0.0292501056193203	1
B0416.11	0.029352108667559	1
F53B6.5	0.0294338755481341	1
