Geneid	Mean of Geneid Strains	Standard Deviation of Geneid Strains
WBGene00016907	8399.0000;	4279.7230;
WBGene00004441	37501.0000;	7884.8585;
WBGene00001196	1650.6667;	578.0463;
WBGene00202110	0.0000;	0.0000;
WBGene00220027	0.0000;	0.0000;
WBGene00001309	5102.0000;	1757.5500;
WBGene00003750	92.0000;	92.6751;
WBGene00006461	481.3333;	173.5825;
WBGene00044897	14.6667;	13.1993;
WBGene00019706	2.6667;	2.4944;
WBGene00004743	3710.6667;	1661.4159;
WBGene00022139	1283.3333;	335.3658;
WBGene00022140	393.6667;	19.6016;
WBGene00022138	694.6667;	272.8691;
WBGene00021768	6024.3333;	2667.4854;
WBGene00219760	0.0000;	0.0000;
WBGene00021766	1190.0000;	415.1361;
WBGene00021765	1154.6667;	367.9296;
WBGene00255420	0.0000;	0.0000;
WBGene00021771	831.3333;	347.0123;
WBGene00044438	347.6667;	110.9725;
WBGene00021764	3513.3333;	2012.4654;
WBGene00201351	0.0000;	0.0000;
WBGene00196465	0.0000;	0.0000;
WBGene00021763	11125.3333;	2261.3862;
WBGene00021238	465.3333;	156.1459;
WBGene00220136	0.0000;	0.0000;
WBGene00021237	254.3333;	76.0278;
WBGene00021239	764.6667;	313.0978;
WBGene00219749	65.0000;	20.5426;
WBGene00044435	7.0000;	5.3541;
WBGene00021346	1651.6667;	276.2044;
WBGene00021347	3695.3333;	2202.3824;
WBGene00021348	4920.6667;	3427.1806;
WBGene00021349	18.3333;	4.4969;
WBGene00195672	0.0000;	0.0000;
WBGene00004409	52215.6667;	14918.9685;
WBGene00021350	61600.0000;	3105.2945;
WBGene00044932	9.3333;	1.6997;
WBGene00197277	0.0000;	0.0000;
WBGene00044931	0.0000;	0.0000;
WBGene00196428	0.0000;	0.0000;
WBGene00004014	9078.6667;	2251.3211;
WBGene00021351	9219.6667;	2420.0791;
WBGene00021352	2724.0000;	683.3247;
WBGene00200606	1.0000;	0.8165;
WBGene00044925	13.0000;	12.0830;
WBGene00021353	91.3333;	11.8977;
WBGene00003799	6368.0000;	2818.5042;
WBGene00044810	140.6667;	68.9460;
WBGene00021354	474.3333;	287.0939;
WBGene00021355	9324.6667;	3116.2940;
WBGene00195033	23.6667;	19.9388;
WBGene00195032	63.0000;	47.0744;
WBGene00235158	159.6667;	132.2531;
WBGene00195031	0.0000;	0.0000;
WBGene00021009	2665.6667;	275.3208;
WBGene00021008	22.0000;	12.7279;
WBGene00021005	978.0000;	582.3470;
WBGene00001542	0.3333;	0.4714;
WBGene00021006	251.0000;	36.1755;
WBGene00021007	1129.6667;	679.8884;
WBGene00017399	3.0000;	4.2426;
WBGene00170253	0.0000;	0.0000;
WBGene00017398	409.3333;	214.2123;
WBGene00000020	371.3333;	147.0518;
WBGene00198059	0.0000;	0.0000;
WBGene00201890	0.0000;	0.0000;
WBGene00200608	0.0000;	0.0000;
WBGene00023176	0.0000;	0.0000;
WBGene00021458	797.0000;	685.2109;
WBGene00000408	2016.6667;	191.8860;
WBGene00021469	1132.3333;	725.3231;
WBGene00021470	15152.3333;	6298.3194;
WBGene00021468	2089.0000;	2193.4477;
WBGene00002047	7090.0000;	1434.7406;
WBGene00021467	4901.0000;	684.8255;
WBGene00021476	1927.6667;	351.6763;
WBGene00021475	2319.3333;	227.6816;
WBGene00021466	14644.0000;	3998.8892;
WBGene00199088	0.0000;	0.0000;
WBGene00021465	3172.3333;	421.4992;
WBGene00003156	20293.3333;	9786.5394;
WBGene00219275	964.3333;	211.8527;
WBGene00021471	329.0000;	144.7481;
WBGene00021477	1.0000;	0.8165;
WBGene00021472	1074.3333;	400.2544;
WBGene00021464	49.0000;	21.2760;
WBGene00021463	57.6667;	69.6770;
WBGene00044277	23.6667;	25.7207;
WBGene00077563	106.6667;	6.5997;
WBGene00021461	38.0000;	3.7417;
WBGene00199635	0.0000;	0.0000;
WBGene00196479	0.0000;	0.0000;
WBGene00197084	0.0000;	0.0000;
WBGene00196296	0.0000;	0.0000;
WBGene00021473	181.6667;	82.7056;
WBGene00021474	3545.6667;	609.9980;
WBGene00021460	7264.0000;	2377.8147;
WBGene00044926	0.0000;	0.0000;
WBGene00195289	0.0000;	0.0000;
WBGene00017741	39.6667;	25.8500;
WBGene00017734	14078.6667;	4560.2838;
WBGene00017735	3928.3333;	884.1992;
WBGene00017736	340.0000;	93.6412;
WBGene00017737	332.3333;	97.1231;
WBGene00017738	981.3333;	432.3751;
WBGene00017733	4179.0000;	300.4707;
WBGene00255457	26.3333;	24.0878;
WBGene00017732	38.0000;	23.0362;
WBGene00023274	0.0000;	0.0000;
WBGene00023273	0.0000;	0.0000;
WBGene00017731	35.6667;	22.8813;
WBGene00017739	1.3333;	1.8856;
WBGene00002141	18.0000;	2.1602;
WBGene00022280	2413.0000;	837.9869;
WBGene00022281	570.6667;	25.8500;
WBGene00022282	15.0000;	12.1929;
WBGene00001232	10646.0000;	2748.7001;
WBGene00021277	3819.3333;	1667.2863;
WBGene00021276	2001.3333;	705.3138;
WBGene00021278	4.3333;	0.9428;
WBGene00202408	0.0000;	0.0000;
WBGene00045093	0.6667;	0.9428;
WBGene00165483	0.0000;	0.0000;
WBGene00021275	39.6667;	15.5206;
WBGene00255578	0.0000;	0.0000;
WBGene00021274	2.0000;	1.4142;
WBGene00021279	156.3333;	119.5947;
WBGene00021273	129.0000;	68.6489;
WBGene00021280	0.0000;	0.0000;
WBGene00021272	52.6667;	38.3087;
WBGene00194701	5.6667;	2.0548;
WBGene00016950	42.3333;	16.4181;
WBGene00016949	26.3333;	2.3570;
WBGene00006047	1706.3333;	162.6250;
WBGene00016948	7.6667;	4.7842;
WBGene00000006	74.0000;	58.0747;
WBGene00001404	4551.6667;	1909.4506;
WBGene00004226	34.6667;	26.3987;
WBGene00019461	565.3333;	251.8496;
WBGene00201499	0.0000;	0.0000;
WBGene00201331	0.0000;	0.0000;
WBGene00000832	591.6667;	211.0487;
WBGene00200768	0.0000;	0.0000;
WBGene00198727	0.3333;	0.4714;
WBGene00021271	238.6667;	29.5334;
WBGene00195445	0.0000;	0.0000;
WBGene00021270	10280.3333;	5246.3664;
WBGene00021269	835.0000;	269.3585;
WBGene00000800	7454.6667;	1840.6398;
WBGene00000801	289.0000;	111.3463;
WBGene00023172	121.0000;	21.6025;
WBGene00077781	31.0000;	5.8878;
WBGene00018231	0.3333;	0.4714;
WBGene00018230	2408.3333;	417.9333;
WBGene00219692	0.0000;	0.0000;
WBGene00018232	349.0000;	152.7700;
WBGene00018233	0.6667;	0.4714;
WBGene00200510	0.0000;	0.0000;
WBGene00197940	0.0000;	0.0000;
WBGene00219930	0.0000;	0.0000;
WBGene00017979	465.6667;	201.8734;
WBGene00017980	91.6667;	51.1816;
WBGene00198883	0.0000;	0.0000;
WBGene00199900	0.3333;	0.4714;
WBGene00200994	0.0000;	0.0000;
WBGene00201569	0.0000;	0.0000;
WBGene00000788	5888.0000;	3720.0875;
WBGene00044927	2.3333;	2.6247;
WBGene00017978	1522.6667;	242.3446;
WBGene00017977	17.6667;	14.7045;
WBGene00017976	8.6667;	10.2089;
WBGene00196260	0.0000;	0.0000;
WBGene00017975	4823.0000;	2470.5406;
WBGene00202148	0.0000;	0.0000;
WBGene00197526	0.0000;	0.0000;
WBGene00200310	0.0000;	0.0000;
WBGene00003006	230.6667;	136.7853;
WBGene00001048	1703.0000;	599.4420;
WBGene00022128	1672.3333;	443.1684;
WBGene00004920	8392.0000;	5047.5131;
WBGene00022127	18617.3333;	6407.8933;
WBGene00022126	1785.6667;	256.9271;
WBGene00022129	418.0000;	228.2645;
WBGene00195443	0.0000;	0.0000;
WBGene00198026	0.0000;	0.0000;
WBGene00201019	0.0000;	0.0000;
WBGene00196517	0.0000;	0.0000;
WBGene00004043	6039.6667;	500.3101;
WBGene00199103	0.0000;	0.0000;
WBGene00022130	74.6667;	51.4220;
WBGene00255549	3.0000;	2.1602;
WBGene00004946	4316.6667;	581.5894;
WBGene00022125	423.0000;	264.3117;
WBGene00022131	247.3333;	122.4237;
WBGene00022133	178.6667;	65.2704;
WBGene00020990	7196.6667;	1734.9256;
WBGene00020991	1086.0000;	177.5688;
WBGene00255550	40.0000;	26.2425;
WBGene00020984	120.0000;	56.6627;
WBGene00020989	12.3333;	11.6714;
WBGene00020988	61.3333;	48.8285;
WBGene00020985	287.0000;	42.5519;
WBGene00201190	0.3333;	0.4714;
WBGene00002174	344.0000;	203.8153;
WBGene00020987	250.0000;	180.4162;
WBGene00044796	12.3333;	14.6363;
WBGene00020986	267.6667;	26.6625;
WBGene00220118	39.0000;	6.3770;
WBGene00004077	1554.3333;	467.9034;
WBGene00220126	0.6667;	0.9428;
WBGene00200264	0.0000;	0.0000;
WBGene00196235	0.0000;	0.0000;
WBGene00199081	0.0000;	0.0000;
WBGene00021126	0.0000;	0.0000;
WBGene00199417	0.0000;	0.0000;
WBGene00202063	0.0000;	0.0000;
WBGene00201255	0.0000;	0.0000;
WBGene00196796	0.0000;	0.0000;
WBGene00195578	0.0000;	0.0000;
WBGene00198389	0.0000;	0.0000;
WBGene00021125	3.6667;	2.8674;
WBGene00021127	7.0000;	5.7155;
WBGene00021128	5827.3333;	2954.4557;
WBGene00197182	0.0000;	0.0000;
WBGene00044433	3.0000;	3.5590;
WBGene00022116	0.0000;	0.0000;
WBGene00200294	0.0000;	0.0000;
WBGene00022115	1338.6667;	553.7974;
WBGene00022117	1224.6667;	253.4316;
WBGene00004412	68912.3333;	16731.6580;
WBGene00199201	0.0000;	0.0000;
WBGene00200098	3.0000;	2.4495;
WBGene00022114	10887.0000;	1927.6115;
WBGene00022113	324.6667;	95.5871;
WBGene00022118	479.6667;	67.9035;
WBGene00000199	2878.6667;	182.7281;
WBGene00022112	262.0000;	184.1865;
WBGene00219219	0.0000;	0.0000;
WBGene00220195	0.3333;	0.4714;
WBGene00022111	118.6667;	66.2437;
WBGene00022119	9255.3333;	1268.0117;
WBGene00001791	68.3333;	28.5346;
WBGene00022110	1037.0000;	378.7092;
WBGene00004049	2112.0000;	1008.8452;
WBGene00022108	469.3333;	190.3932;
WBGene00219263	0.0000;	0.0000;
WBGene00022107	944.6667;	240.1976;
WBGene00022122	23852.6667;	4671.8770;
WBGene00003836	1821.0000;	127.8463;
WBGene00022121	1845.6667;	268.1795;
WBGene00044928	0.0000;	0.0000;
WBGene00045398	0.0000;	0.0000;
WBGene00000237	368.6667;	145.8546;
WBGene00201627	0.0000;	0.0000;
WBGene00200726	0.0000;	0.0000;
WBGene00201588	0.0000;	0.0000;
WBGene00196076	0.0000;	0.0000;
WBGene00196881	0.0000;	0.0000;
WBGene00044894	474.6667;	57.7139;
WBGene00022123	65.6667;	6.1824;
WBGene00022124	583.0000;	158.5707;
WBGene00001046	1083.6667;	477.5384;
WBGene00021839	5275.0000;	997.2856;
WBGene00021838	3.3333;	2.8674;
WBGene00003186	1715.3333;	344.0323;
WBGene00197714	0.0000;	0.0000;
WBGene00000625	120.0000;	137.4215;
WBGene00021837	3.3333;	1.6997;
WBGene00021843	2598.6667;	122.2602;
WBGene00021842	2381.3333;	138.4301;
WBGene00021844	6640.3333;	1372.8225;
WBGene00021845	6844.0000;	4124.2166;
WBGene00021841	1559.3333;	326.8561;
WBGene00003387	28.0000;	12.0277;
WBGene00021846	518.0000;	204.3575;
WBGene00021840	884.3333;	84.3972;
WBGene00000205	1230.6667;	157.8107;
WBGene00019697	3207.3333;	462.2534;
WBGene00019698	1162.6667;	379.5799;
WBGene00197503	0.0000;	0.0000;
WBGene00199215	0.0000;	0.0000;
WBGene00197193	0.0000;	0.0000;
WBGene00003654	138.3333;	59.6452;
WBGene00219857	0.0000;	0.0000;
WBGene00195056	1.0000;	0.8165;
WBGene00016663	26.6667;	10.3387;
WBGene00197996	0.0000;	0.0000;
WBGene00219712	0.0000;	0.0000;
WBGene00219460	23.6667;	8.7305;
WBGene00000626	6.3333;	1.8856;
WBGene00045387	23.6667;	11.2645;
WBGene00019597	29.6667;	17.9320;
WBGene00003062	4632.6667;	1874.9283;
WBGene00019595	3434.6667;	1686.2853;
WBGene00019598	450.3333;	99.7475;
WBGene00019594	26.0000;	19.2527;
WBGene00006888	9318.0000;	1249.1087;
WBGene00220015	0.0000;	0.0000;
WBGene00021829	1264.6667;	23.4141;
WBGene00021828	2297.3333;	100.5330;
WBGene00021827	2022.0000;	1153.9206;
WBGene00021830	2868.6667;	1089.6710;
WBGene00021831	1843.0000;	830.3618;
WBGene00021832	1031.3333;	713.6485;
WBGene00021833	0.0000;	0.0000;
WBGene00021835	438.6667;	263.8905;
WBGene00001481	724.6667;	143.3279;
WBGene00004404	816.3333;	172.2717;
WBGene00000413	2186.0000;	1170.9947;
WBGene00021826	7076.3333;	2821.0148;
WBGene00003258	1198.0000;	210.4867;
WBGene00021834	500.3333;	330.8780;
WBGene00198001	1.3333;	1.2472;
WBGene00199669	0.0000;	0.0000;
WBGene00200442	0.0000;	0.0000;
WBGene00201300	0.0000;	0.0000;
WBGene00220179	0.3333;	0.4714;
WBGene00202137	0.0000;	0.0000;
WBGene00195923	0.0000;	0.0000;
WBGene00196224	0.0000;	0.0000;
WBGene00197232	0.0000;	0.0000;
WBGene00021553	20.3333;	3.6818;
WBGene00197062	0.0000;	0.0000;
WBGene00197872	0.0000;	0.0000;
WBGene00021552	1750.0000;	565.1236;
WBGene00020915	22850.0000;	3600.5739;
WBGene00004154	40.0000;	19.0962;
WBGene00196791	0.0000;	0.0000;
WBGene00020914	269.3333;	96.0428;
WBGene00020917	98.0000;	89.9333;
WBGene00020913	153.3333;	20.2868;
WBGene00000036	81.6667;	55.0717;
WBGene00021548	2073.0000;	841.6761;
WBGene00021549	1552.0000;	447.2337;
WBGene00021547	14.0000;	10.0333;
WBGene00021551	3161.0000;	1126.6289;
WBGene00021039	25.6667;	4.9216;
WBGene00195045	239.3333;	90.7830;
WBGene00021034	382.3333;	91.6964;
WBGene00021035	21310.3333;	2028.7805;
WBGene00021038	4047.0000;	679.2560;
