gene name	Scaled_TPM	group number
D1086.6	0.0065927995550403	1
ZK666.11	0.0066118990852348	1
pho-10	0.0066265733419825	1
W02B3.3	0.0066826487317779	1
Y46G5A.23	0.0066994809428532	1
srh-37	0.0066996515169606	1
K05F1.13	0.0067026242540951	1
Y17D7C.2	0.0067134895685913	1
fbxc-21	0.0067135961413854	1
lgc-5	0.0067146025642186	1
F49F1.18	0.0067222996512729	1
ZK662.5	0.0067368878769992	1
T25D1.3	0.0067493239611981	1
T07G12.3	0.0067601128237681	1
srbc-60	0.0067645780738774	1
C28G1.4	0.0067646754442765	1
K02A6.1	0.0067657642807808	1
K10H10.9	0.0067766558639152	1
F55B11.5	0.0067865794331683	1
str-227	0.0068027959622738	1
R11G1.7	0.0068080416022849	1
T12A2.3	0.0068249884926982	1
T13B5.9	0.006832426046856	1
nhr-9	0.0068410655417004	1
srh-172	0.0068417044537721	1
nhr-174	0.0068552919282987	1
otpl-2	0.006863125587573	1
C03C10.5	0.0068637831558563	1
srh-207	0.0068762723072502	1
srh-222	0.0068779819156185	1
str-112	0.0068929257756935	1
F35E8.2	0.0069028933510699	1
Y24D9A.7	0.0069055217238526	1
F11A5.5	0.0069153411253688	1
R04B3.1	0.0069306204047353	1
C17C3.6	0.0069396756851419	1
C39B5.10	0.0069503442975432	1
T01G6.10	0.0069557801449179	1
nhr-199	0.006970772369219	1
srb-19	0.006972979412994	1
tbx-8	0.0069926249904498	1
str-224	0.0070037575242921	1
srw-121	0.007005583966439	1
srx-67	0.0070090256932935	1
F45C12.17	0.0070103872051595	1
Y37F4.3	0.007014476676477	1
F12E12.12	0.0070148614763999	1
W04C9.9	0.0070394224565178	1
srh-184	0.0070394261501319	1
sdz-1	0.0070603961286353	1
lips-1	0.0070630688668579	1
F36F12.2	0.0070632581537409	1
bgnt-1.5	0.0070681503591357	1
fbxb-46	0.0070717530039194	1
npr-14	0.0070726487554919	1
fbxb-78	0.0070751031895297	1
F49C12.3	0.0070817494507262	1
nhr-185	0.0070955251317897	1
srd-20	0.0071010215304876	1
cyp-33C2	0.0071036016429761	1
sri-72	0.0071143675419817	1
srsx-37	0.0071188434075116	1
fip-3	0.0071243369688407	1
fbxb-102	0.0071293084460237	1
hlh-34	0.0071445701396091	1
W09C3.1	0.0071799305875222	1
F09F9.3	0.0071856835420139	1
Y51H7BR.8	0.0071888393617976	1
pals-21	0.0071891479599797	1
srd-54	0.0071941392091411	1
Y26D4A.21	0.0072486864767362	1
srh-17	0.00726331697614	1
sri-4	0.0072664685990175	1
ins-21	0.007267016694275	1
W08E12.5	0.0072746312888736	1
Y73B6BL.37	0.0072860952312259	1
dos-2	0.0072908833508018	1
Y20C6A.4	0.0073032886641312	1
sre-21	0.0073055341464328	1
fbxb-14	0.0073067565413606	1
ZC239.2	0.0073093412030044	1
mab-23	0.0073279264009969	1
F56B3.9	0.0073447036696649	1
F11D11.3	0.0073479751695032	1
Y70C5A.4	0.0073556471136866	1
F16D3.6	0.0073778117532201	1
C03E10.1	0.0073839333828547	1
bcmo-1	0.0073860577879279	1
ZK1010.12	0.0073893382195321	1
fbxb-41	0.0073959924006249	1
R09E10.5	0.0073994016715398	1
F11F1.5	0.0074022982452564	1
C10A4.7	0.0074126869856883	1
ZK816.4	0.0074538146232734	1
C49C3.21	0.007457726327209	1
C08A9.3	0.007466277016752	1
lgc-36	0.0074669148577564	1
F35F10.5	0.0074710788566031	1
K08H2.2	0.0074735267679659	1
Y26G10.7	0.007474278319458	1
srd-19	0.0074869318842638	1
srsx-28	0.0075008108448423	1
T04C10.3	0.0075109505853236	1
T04C9.2	0.0075120394539769	1
F55H12.7	0.00751685309215	1
str-19	0.0075333329579333	1
Y40B10A.5	0.0075340516407519	1
C05G5.7	0.0075356572354981	1
C50H2.4	0.0075436102352585	1
fbxc-55	0.007562458024221	1
